Id,Label,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,ChapterIndex
Student_001,강가은,Feature_001,Feature_005,Feature_007,Feature_009,Feature_013,Feature_014,0
Student_002,강서하,Feature_001,Feature_004,Feature_008,Feature_009,Feature_013,,0
Student_003,강서현,Feature_001,Feature_005,Feature_007,Feature_009,,Feature_014,0
Student_004,강지은,Feature_003,Feature_005,Feature_008,Feature_010,,,0
Student_005,강민서,Feature_001,Feature_005,Feature_006,Feature_010,Feature_013,,0
Student_006,고은비,Feature_002,Feature_005,Feature_006,Feature_009,Feature_013,Feature_014,0
Student_007,고서현,Feature_002,Feature_004,Feature_008,Feature_009,,Feature_014,0
Student_008,권나연,Feature_001,Feature_004,Feature_007,Feature_010,Feature_013,,0
Student_009,권지민,Feature_001,Feature_005,Feature_006,Feature_009,Feature_012,Feature_014,0
Student_010,김가은,Feature_001,Feature_005,Feature_006,Feature_009,,,0
Student_011,김다현,Feature_001,Feature_005,Feature_008,Feature_009,,Feature_014,0
Student_012,김민지,Feature_001,Feature_004,Feature_007,Feature_009,Feature_011,Feature_014,0
Student_013,김서윤,Feature_001,Feature_004,Feature_006,Feature_009,Feature_013,,0
Student_014,김수아,Feature_002,Feature_004,Feature_006,Feature_010,Feature_012,Feature_014,0
Student_015,김유진,Feature_002,Feature_004,Feature_008,Feature_009,Feature_012,,0
Student_016,김하린,Feature_001,Feature_005,Feature_006,Feature_010,Feature_011,,0
Student_017,나서하,Feature_002,Feature_004,Feature_007,Feature_009,Feature_011,,0
Student_018,나윤지,Feature_001,Feature_005,Feature_008,Feature_009,Feature_013,Feature_014,0
Student_019,남예린,Feature_003,Feature_005,Feature_006,Feature_010,,,0
Student_020,남지유,Feature_001,Feature_004,Feature_007,Feature_010,Feature_011,Feature_014,0
Student_021,노은채,Feature_003,Feature_004,Feature_008,Feature_009,Feature_013,Feature_014,0
Student_022,노지아,Feature_002,Feature_005,Feature_006,Feature_010,Feature_013,Feature_014,0
Student_023,도예진,Feature_003,Feature_005,Feature_008,Feature_010,Feature_013,,1
Student_024,도하은,Feature_002,Feature_005,Feature_006,Feature_010,Feature_012,Feature_014,1
Student_025,두나영,Feature_001,Feature_005,Feature_008,Feature_010,Feature_011,Feature_014,1
Student_026,두민지,Feature_003,Feature_004,Feature_006,Feature_009,Feature_012,Feature_014,1
Student_027,두하린,Feature_003,Feature_004,Feature_008,Feature_009,Feature_013,,1
Student_028,라서연,Feature_003,Feature_004,Feature_006,Feature_010,Feature_013,,1
Student_029,라지은,Feature_002,Feature_004,Feature_007,Feature_009,Feature_013,,1
Student_030,라윤서,Feature_002,Feature_005,Feature_008,Feature_010,Feature_011,,1
Student_031,류다현,Feature_002,Feature_005,Feature_008,Feature_009,Feature_013,,1
Student_032,류서연,Feature_001,Feature_005,Feature_007,Feature_009,Feature_013,,1
Student_033,류서현,Feature_002,Feature_005,Feature_008,Feature_009,Feature_011,,1
Student_034,모유진,Feature_002,Feature_005,Feature_008,Feature_009,Feature_012,Feature_014,2
Student_035,문가영,Feature_003,Feature_005,Feature_006,Feature_010,Feature_013,,2
Student_036,문지안,Feature_002,Feature_004,Feature_006,Feature_010,Feature_011,,2
Student_037,문유라,Feature_003,Feature_005,Feature_008,Feature_010,,Feature_014,2
Student_038,문혜린,Feature_001,Feature_004,Feature_007,Feature_010,Feature_012,,2
Student_039,민소연,Feature_001,Feature_005,Feature_008,Feature_009,Feature_012,,2
Student_040,민하윤,Feature_003,Feature_005,Feature_006,Feature_010,Feature_011,,2
Student_041,민채린,Feature_001,Feature_005,Feature_007,Feature_009,Feature_012,Feature_014,2
Student_042,박가현,Feature_002,Feature_004,Feature_007,Feature_010,Feature_012,,2
Student_043,박서연,Feature_002,Feature_005,Feature_007,Feature_009,,,2
Student_044,박지은,Feature_001,Feature_004,Feature_006,Feature_009,Feature_011,,2
Student_045,박하은,Feature_001,Feature_004,Feature_006,Feature_010,Feature_011,Feature_014,2
Student_046,배수연,Feature_001,Feature_005,Feature_006,Feature_009,Feature_013,Feature_014,2
Student_047,배예린,Feature_003,Feature_004,Feature_008,Feature_010,Feature_012,,2
Student_048,백서아,Feature_003,Feature_004,Feature_007,Feature_010,Feature_011,Feature_014,2
Student_049,백소민,Feature_003,Feature_005,Feature_006,Feature_009,,Feature_014,2
Student_050,서가윤,Feature_002,Feature_005,Feature_007,Feature_009,Feature_012,,3
Student_051,서민지,Feature_003,Feature_005,Feature_008,Feature_009,Feature_012,Feature_014,3
Student_052,서채원,Feature_003,Feature_004,Feature_007,Feature_009,Feature_012,Feature_014,3
Student_053,송민아,Feature_002,Feature_005,Feature_007,Feature_010,Feature_012,,3
Student_054,송하늘,Feature_002,Feature_004,Feature_008,Feature_009,Feature_013,Feature_014,3
Student_055,손예린,Feature_001,Feature_005,Feature_007,Feature_010,Feature_013,,3
Student_056,손하린,Feature_003,Feature_005,Feature_006,Feature_009,Feature_011,Feature_014,3
Student_057,신다현,Feature_002,Feature_005,Feature_008,Feature_010,Feature_013,Feature_014,3
Student_058,신세아,Feature_003,Feature_005,Feature_006,Feature_010,Feature_011,Feature_014,3
Student_059,신예린,Feature_003,Feature_005,Feature_007,Feature_009,,Feature_014,3
Student_060,심윤아,Feature_003,Feature_004,Feature_006,Feature_010,Feature_011,Feature_014,3
Student_061,심채은,Feature_001,Feature_005,Feature_006,Feature_010,,Feature_014,3
Student_062,안지민,Feature_001,Feature_004,Feature_007,Feature_010,,,3
Student_063,안태희,Feature_001,Feature_005,Feature_007,Feature_009,Feature_011,,3
Student_064,양서율,Feature_002,Feature_004,Feature_007,Feature_010,Feature_012,Feature_014,3
Student_065,양지윤,Feature_003,Feature_005,Feature_008,Feature_010,Feature_011,Feature_014,3
Student_066,오가람,Feature_002,Feature_005,Feature_007,Feature_010,Feature_011,,3
Student_067,오세린,Feature_003,Feature_004,Feature_006,Feature_010,,,3
Student_068,오지유,Feature_002,Feature_004,Feature_006,Feature_009,Feature_011,Feature_014,3
Student_069,유가영,Feature_002,Feature_005,Feature_008,Feature_010,Feature_013,,3
Student_070,유민서,Feature_001,Feature_005,Feature_006,Feature_009,Feature_011,Feature_014,3
Student_071,윤다혜,Feature_003,Feature_004,Feature_007,Feature_010,Feature_013,,3
Student_072,윤세아,Feature_003,Feature_005,Feature_006,Feature_009,Feature_012,Feature_014,3
Student_073,윤아린,Feature_003,Feature_005,Feature_007,Feature_010,,,3
Student_074,장도연,Feature_002,Feature_005,Feature_008,Feature_010,Feature_012,Feature_014,4
Student_075,장민서,Feature_003,Feature_005,Feature_007,Feature_009,Feature_012,Feature_014,4
Student_076,전규리,Feature_003,Feature_004,Feature_006,Feature_009,Feature_011,Feature_014,4
Student_077,전서현,Feature_001,Feature_005,Feature_007,Feature_009,Feature_011,Feature_014,4
Student_078,정나윤,Feature_002,Feature_005,Feature_007,Feature_009,,Feature_014,4
Student_079,정세진,Feature_003,Feature_004,Feature_006,Feature_009,Feature_012,,4
Student_080,정하늘,Feature_002,Feature_005,Feature_008,Feature_009,Feature_011,Feature_014,4
Student_081,조민경,Feature_001,Feature_005,Feature_007,Feature_010,Feature_012,Feature_014,4
Student_082,조수현,Feature_003,Feature_004,Feature_007,Feature_010,,Feature_014,4
Student_083,조예린,Feature_001,Feature_005,Feature_006,Feature_010,Feature_012,,4
Student_084,최가영,Feature_001,Feature_004,Feature_008,Feature_009,,Feature_014,4
Student_085,최다윤,Feature_003,Feature_005,Feature_007,Feature_009,Feature_013,Feature_014,4
Student_086,최민지,Feature_003,Feature_004,Feature_006,Feature_009,,Feature_014,4
Student_087,최서현,Feature_001,Feature_005,Feature_008,Feature_010,Feature_012,Feature_014,4
Student_088,탁서윤,Feature_001,Feature_004,Feature_008,Feature_010,,,5
Student_089,탁세아,Feature_003,Feature_004,Feature_007,Feature_010,Feature_012,Feature_014,5
Student_090,탁지은,Feature_003,Feature_005,Feature_008,Feature_009,,,5
Student_091,팽민서,Feature_003,Feature_004,Feature_006,Feature_009,Feature_013,Feature_014,6
Student_092,팽지윤,Feature_003,Feature_004,Feature_008,Feature_010,Feature_011,,6
Student_093,팽현서,Feature_002,Feature_004,Feature_007,Feature_010,Feature_013,,6
Student_094,표은서,Feature_003,Feature_004,Feature_007,Feature_009,Feature_013,Feature_014,6
Student_095,표지은,Feature_002,Feature_005,Feature_007,Feature_010,Feature_013,Feature_014,6
Student_096,한서희,Feature_002,Feature_004,Feature_006,Feature_010,Feature_012,,6
